case,run_id,seed,generation,elapsed_time_s,unique_evaluations_generation,unique_evaluations_cumulative,cache_hits_generation,cache_hits_cumulative,population_size,feasible_population_size,nondominated_size,archive_nondominated_size,best_loss,best_saidi
ieee33,ieee33_seed_33457,33457,79,30.636328200023854,6,3346,100,7800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,80,30.79949070001021,11,3357,100,7900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,81,30.97292510000989,12,3369,100,8000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,82,31.092015900008846,5,3374,100,8100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,83,31.2427981000219,10,3384,100,8200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,84,31.402389100025175,11,3395,100,8300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,85,31.556596600014018,10,3405,100,8400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,86,31.70993380001164,10,3415,100,8500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,87,31.862321799999336,9,3424,100,8600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,88,32.013953100016806,10,3434,100,8700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,89,32.15468970002257,8,3442,100,8800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,90,32.29506940001738,7,3449,100,8900,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,91,32.43399240000872,7,3456,100,9000,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,92,32.57331130001694,8,3464,100,9100,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,93,32.72043169999961,9,3473,100,9200,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,94,32.85955020002439,8,3481,100,9300,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,95,32.979801100009354,5,3486,100,9400,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,96,33.14776440002606,11,3497,100,9500,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,97,33.27063199999975,6,3503,100,9600,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,98,33.402057200000854,7,3510,100,9700,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,99,33.5195967000036,5,3515,100,9800,100,100,5,5,137.3403817568125,2.99902994334375
ieee33,ieee33_seed_33457,33457,100,33.627865800022846,4,3519,100,9900,100,100,5,5,137.3403817568125,2.99902994334375
